feature_number,network,combined_ID,binary_ID,canopus_annotation,canopus_probability,chemontid,level,SUBCLASS,CHEMONT_STRING,level 1,level 2,level 3,level 4,level 5,level 6,level 7,level 8,characterization scores,C,H,N,O,P,S,NOSC,dG,inchi_binary,inchi_combined,simplified_makeup,DayNight,CCA,Dictyota,Pocillopora verrucosa,Porites lobata,Turf,number_exudate_organisms,exudate_type,lability
16278,343,O-Arachidonoylglycidol,2,Dialkyl phosphates,1,CHEMONTID:0003459,6,CHEMONTID:0003457,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000402;CHEMONTID:0000408;CHEMONTID:0003457;CHEMONTID:0003459,Organic compounds,Organic acids and derivatives,Organic phosphoric acids and derivatives,Phosphate esters,Alkyl phosphates,Dialkyl phosphates,NA,NA,Good,25,44,1,7,1,0,-1.2800000000000002,96.78,2,"InChI=1S/C23H36O3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-23(24)26-21-22-20-25-22/h6-7,9-10,12-13,15-16,22H,2-5,8,11,14,17-21H2,1H3/b7-6-,10-9-,13-12-,16-15-",CHONP,Night,NA,NA,NA,0.011816290698073236,NA,1,Porites lobata,labile
16906,701,Carboxylic acid derivatives,N/A,Carboxylic acid derivatives,0.91,CHEMONTID:0001093,4,CHEMONTID:0000265,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000265;CHEMONTID:0001093,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,NA,NA,NA,NA,Good,21,28,4,7,0,0,-0.0952380952380949,63.014285714285705,3,N/A,CHON,Night,0.020484151540051784,1.2981098614830422e-4,NA,NA,NA,2,Algae,labile
16912,4779,Undecanedioic acid,2,Carbonyl compounds,0.99,CHEMONTID:0001831,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0001831,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,Good,14,23,1,4,0,0,-0.8571428571428568,84.72857142857141,2,"InChI=1S/C11H20O4/c12-10(13)8-6-4-2-1-3-5-7-9-11(14)15/h1-9H2,(H,12,13)(H,14,15)",CHON,Night,NA,0.0013630557609754573,NA,NA,NA,1,Dictyota,labile
17054,-1,Primary amines,N/A,Primary amines,0.99,CHEMONTID:0002450,5,CHEMONTID:0002449,CHEMONTID:0000000;CHEMONTID:0004707;CHEMONTID:0000278;CHEMONTID:0002449;CHEMONTID:0002450,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Primary amines,NA,NA,NA,Good,NA,NA,NA,NA,NA,NA,NA,NA,3,N/A,uncharacterized,Night,NA,NA,NA,0.009819814889734605,NA,1,Porites lobata,labile
17083,21,3-Hydroxyoleylcarnitine,2,Amines,0.91,CHEMONTID:0002449,4,CHEMONTID:0000278,CHEMONTID:0000000;CHEMONTID:0004707;CHEMONTID:0000278;CHEMONTID:0002449,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,NA,NA,NA,NA,Good,20,37,1,5,0,0,-1.2000000000000002,94.5,2,N/A,CHON,Night,NA,NA,NA,0.021538408088337516,NA,1,Porites lobata,labile
17171,434,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Good,14,28,0,8,0,0,-0.8571428571428568,84.72857142857141,3,N/A,CHO,Night,NA,NA,0.01386774476844594,NA,NA,1,Pocillopora verrucosa,labile
17246,3623,Carbonyl compounds,N/A,Carbonyl compounds,0.96,CHEMONTID:0001831,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0001831,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,Low probability,23,41,3,8,0,0,-0.6956521739130439,80.12608695652175,3,N/A,uncharacterized,Night,NA,NA,NA,0,NA,1,Porites lobata,labile
17257,3623,Carbonyl compounds,N/A,Carbonyl compounds,0.96,CHEMONTID:0001831,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0001831,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,Low probability,22,34,0,12,0,0,-0.45454545454545414,73.25454545454544,3,N/A,uncharacterized,Night,NA,NA,NA,1.2617120912204504e-5,NA,1,Porites lobata,labile
17283,148,Tetraethyl dithiopyrophosphate,2,Dicarboxylic acids and derivatives,0.9,CHEMONTID:0000346,4,CHEMONTID:0000265,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000265;CHEMONTID:0000346,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,NA,NA,NA,NA,Good,9,12,0,4,0,0,-0.44444444444444464,72.96666666666667,2,"InChI=1S/C8H20O5P2S2/c1-5-9-14(16,10-6-2)13-15(17,11-7-3)12-8-4/h5-8H2,1-4H3",CHO,Night,NA,NA,1.507264203185875e-11,NA,NA,1,Pocillopora verrucosa,labile
17292,5082,(R)-(+)-Citronellic acid,2,Amines,0.94,CHEMONTID:0002449,4,CHEMONTID:0000278,CHEMONTID:0000000;CHEMONTID:0004707;CHEMONTID:0000278;CHEMONTID:0002449,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,NA,NA,NA,NA,Good,14,31,1,2,0,0,-1.7142857142857144,109.15714285714286,2,"InChI=1S/C10H18O2/c1-8(2)5-4-6-9(3)7-10(11)12/h5,9H,4,6-7H2,1-3H3,(H,11,12)/t9-/m1/s1",CHON,Night,NA,NA,1.1425690426858935e-4,0.015588440712158036,NA,2,Coral,labile
17302,-1,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Good,13,24,2,2,0,0,-1.0769230769230766,90.99230769230769,3,N/A,CHON,Night,NA,NA,3.0414314127998865e-8,NA,NA,1,Pocillopora verrucosa,labile
17304,-1,Glycosylamines,N/A,Glycosylamines,0.91,CHEMONTID:0002203,6,CHEMONTID:0002105,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0000011;CHEMONTID:0002105;CHEMONTID:0002203,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Glycosylamines,NA,NA,Good,19,32,16,6,1,0,1.210526315789474,25.79999999999999,3,N/A,CHONP,Night,NA,NA,NA,4.113182612202609e-5,NA,1,Porites lobata,labile
17318,-1,Matairesinol,2,Alkanolamines,0.86,CHEMONTID:0002460,5,CHEMONTID:0002449,CHEMONTID:0000000;CHEMONTID:0004707;CHEMONTID:0000278;CHEMONTID:0002449;CHEMONTID:0002460,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Alkanolamines,NA,NA,NA,Good,14,31,1,2,0,0,-1.7142857142857144,109.15714285714286,2,"InChI=1S/C20H22O6/c1-24-18-9-12(3-5-16(18)21)7-14-11-26-20(23)15(14)8-13-4-6-17(22)19(10-13)25-2/h3-6,9-10,14-15,21-22H,7-8,11H2,1-2H3/t14-,15+/m0/s1",CHON,Night,NA,NA,2.5297781664753696e-4,3.9351999370162006e-4,NA,2,Coral,labile
17427,891,Alcohols and polyols,N/A,Alcohols and polyols,0.94,CHEMONTID:0000129,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0000129,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,NA,NA,NA,NA,Good,14,27,1,7,0,0,-0.7142857142857144,80.65714285714286,3,N/A,CHON,Night,NA,NA,NA,0.010069136305718701,NA,1,Porites lobata,labile
17546,2248,Carbonyl compounds,N/A,Carbonyl compounds,0.91,CHEMONTID:0001831,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0001831,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,Bad quality,21,33,2,6,0,0,-0.7142857142857144,80.65714285714286,3,N/A,uncharacterized,Night,NA,NA,1.3614704506202187e-6,NA,NA,1,Pocillopora verrucosa,labile
17591,-1,Carbonyl compounds,N/A,Carbonyl compounds,0.96,CHEMONTID:0001831,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0001831,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,Good,9,15,1,4,0,0,-0.44444444444444464,72.96666666666667,3,N/A,CHON,Night,NA,NA,NA,4.297000771633072e-4,NA,1,Porites lobata,labile
17657,80,Carboxylic acid derivatives,N/A,Carboxylic acid derivatives,0.87,CHEMONTID:0001093,4,CHEMONTID:0000265,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000265;CHEMONTID:0001093,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,NA,NA,NA,NA,Bad quality,20,34,0,10,0,0,-0.7000000000000002,80.25,3,N/A,uncharacterized,Night,0,NA,NA,NA,NA,1,CCA,labile
17823,573,Primary amines,N/A,Primary amines,0.96,CHEMONTID:0002450,5,CHEMONTID:0002449,CHEMONTID:0000000;CHEMONTID:0004707;CHEMONTID:0000278;CHEMONTID:0002449;CHEMONTID:0002450,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Primary amines,NA,NA,NA,Good,NA,NA,NA,NA,NA,NA,NA,NA,3,N/A,uncharacterized,Night,NA,NA,2.2910072353687527e-6,NA,NA,1,Pocillopora verrucosa,labile
17906,-1,Carbonyl compounds,N/A,Carbonyl compounds,0.98,CHEMONTID:0001831,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0001831,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,Low probability,26,45,1,15,0,0,-0.4615384615384617,73.45384615384616,3,N/A,uncharacterized,Night,NA,NA,8.979131330986264e-4,NA,NA,1,Pocillopora verrucosa,labile
18075,21,16-Hydroxyhexadecanoic acid,2,Carboxylic acid derivatives,0.86,CHEMONTID:0001093,4,CHEMONTID:0000265,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000265;CHEMONTID:0001093,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,NA,NA,NA,NA,Good,21,39,1,6,0,0,-1.1428571428571432,92.87142857142858,2,"InChI=1S/C16H32O3/c17-15-13-11-9-7-5-3-1-2-4-6-8-10-12-14-16(18)19/h17H,1-15H2,(H,18,19)",CHON,Night,NA,NA,6.423674958888294e-4,NA,NA,1,Pocillopora verrucosa,labile
18782,2057,Carboxylic acid derivatives,N/A,Carboxylic acid derivatives,0.96,CHEMONTID:0001093,4,CHEMONTID:0000265,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000265;CHEMONTID:0001093,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,NA,NA,NA,NA,Good,16,24,0,8,0,0,-0.5,74.55,3,N/A,CHO,Night,NA,NA,NA,2.219508371468007e-4,NA,1,Porites lobata,labile
19162,-1,"4,2'-Dihydroxy-4',6'-dimethoxychalcone",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Good,15,31,1,1,0,0,-1.7333333333333334,109.69999999999999,2,"InChI=1S/C17H16O5/c1-21-13-9-15(20)17(16(10-13)22-2)14(19)8-5-11-3-6-12(18)7-4-11/h3-10,18,20H,1-2H3/b8-5+",CHON,Night,9.976199246760856e-4,0,NA,NA,3.0400896208181686e-4,3,Algae,labile
19311,127,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bad quality,13,18,7,2,0,0,0.5384615384615383,44.95384615384616,3,N/A,uncharacterized,Night,NA,0.006153131392923972,NA,NA,0.015673653142859286,2,Fleshy Algae,labile
19457,3346,Amines,N/A,Amines,0.98,CHEMONTID:0002449,4,CHEMONTID:0000278,CHEMONTID:0000000;CHEMONTID:0004707;CHEMONTID:0000278;CHEMONTID:0002449,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,NA,NA,NA,NA,Bad quality,NA,NA,NA,NA,NA,NA,NA,NA,3,N/A,uncharacterized,Night,0.021541287492250403,NA,2.0579425768945411e-4,NA,NA,2,Corraline,labile
19553,857,CAY10487,2,Carboxylic acid derivatives,0.88,CHEMONTID:0001093,4,CHEMONTID:0000265,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000265;CHEMONTID:0001093,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,NA,NA,NA,NA,Good,19,38,2,4,0,0,-1.2631578947368425,96.30000000000001,2,N/A,CHON,Night,NA,NA,0.0013781060733092348,NA,NA,1,Pocillopora verrucosa,labile
19556,4896,Spectral Match to Pinolenic acid from NIST14,2,Amines,0.99,CHEMONTID:0002449,4,CHEMONTID:0000278,CHEMONTID:0000000;CHEMONTID:0004707;CHEMONTID:0000278;CHEMONTID:0002449,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,NA,NA,NA,NA,Bad quality,16,35,1,3,0,0,-1.625,106.6125,2,N/A,uncharacterized,Night,NA,NA,0.008073985947409115,NA,NA,1,Pocillopora verrucosa,labile
19610,-1,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bad quality,28,35,1,0,0,0,-1.1428571428571432,92.87142857142858,3,N/A,uncharacterized,Night,NA,NA,0.0026884442679829443,NA,NA,1,Pocillopora verrucosa,labile
19730,-1,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,N/A,uncharacterized,Night,NA,0.029078817947299548,NA,NA,NA,1,Dictyota,labile
19843,857,"3,4-Dihydroxycinnamic acid (L-alanine methyl ester) amide",2,Carboxylic acid derivatives,0.95,CHEMONTID:0001093,4,CHEMONTID:0000265,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000265;CHEMONTID:0001093,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,NA,NA,NA,NA,Good,19,38,2,4,0,0,-1.2631578947368425,96.30000000000001,2,"InChI=1S/C13H15NO5/c1-8(13(18)19-2)14-12(17)6-4-9-3-5-10(15)11(16)7-9/h3-8,15-16H,1-2H3,(H,14,17)/b6-4-/t8-/m0/s1",CHON,Night,NA,NA,2.1256212034755654e-13,NA,NA,1,Pocillopora verrucosa,labile
19845,-1,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bad quality,16,43,7,0,1,0,-1.6875,108.39375,3,N/A,uncharacterized,Night,NA,NA,0.010689794790298282,NA,NA,1,Pocillopora verrucosa,labile
19847,-1,Phosphate esters,N/A,Phosphate esters,0.99,CHEMONTID:0000408,4,CHEMONTID:0000402,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000402;CHEMONTID:0000408,Organic compounds,Organic acids and derivatives,Organic phosphoric acids and derivatives,Phosphate esters,NA,NA,NA,NA,Low probability,28,31,2,10,1,0,-0.35714285714285676,70.47857142857141,3,N/A,uncharacterized,Night,0.016337150820387353,NA,NA,NA,NA,1,CCA,labile
19858,848,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low probability,31,28,4,10,0,0,0.12903225806451601,56.62258064516129,3,N/A,uncharacterized,Night,NA,NA,NA,NA,0.038966843922796736,1,Turf,labile
20171,1018,MoNA:843845 Decacarboxy sulfophenyl carboxylic acid,2,Primary amines,0.96,CHEMONTID:0002450,5,CHEMONTID:0002449,CHEMONTID:0000000;CHEMONTID:0004707;CHEMONTID:0000278;CHEMONTID:0002449;CHEMONTID:0002450,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Primary amines,NA,NA,NA,Low probability,11,25,11,3,0,0,1.272727272727273,24.027272727272717,2,"InChI=1S/C16H24O5S/c17-16(18)9-7-5-3-1-2-4-6-8-14-10-12-15(13-11-14)22(19,20)21/h10-13H,1-9H2,(H,17,18)(H,19,20,21)",uncharacterized,Night,NA,NA,0.03186829990059096,NA,NA,1,Pocillopora verrucosa,labile
20328,80,Imidazoles,N/A,Imidazoles,0.87,CHEMONTID:0000078,4,CHEMONTID:0000436,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0000436;CHEMONTID:0000078,Organic compounds,Organoheterocyclic compounds,Azoles,Imidazoles,NA,NA,NA,NA,Bad quality,14,26,16,0,1,0,1.2142857142857144,25.692857142857136,3,N/A,uncharacterized,Night,0.01999849138089738,NA,0,0.04273459461468009,NA,3,Corraline,labile
20337,80,Carboxylic acid derivatives,N/A,Carboxylic acid derivatives,0.99,CHEMONTID:0001093,4,CHEMONTID:0000265,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000265;CHEMONTID:0001093,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,NA,NA,NA,NA,Good,20,34,0,10,0,0,-0.7000000000000002,80.25,3,N/A,CHO,Night,NA,NA,0,NA,NA,1,Pocillopora verrucosa,labile
20365,80,Alcohols and polyols,N/A,Alcohols and polyols,0.99,CHEMONTID:0000129,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0000129,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,NA,NA,NA,NA,Good,14,33,4,9,1,0,-0.5714285714285712,76.58571428571427,3,N/A,CHONP,Night,NA,NA,9.290616324312544e-14,NA,NA,1,Pocillopora verrucosa,labile
20642,1569,Primary amines,N/A,Primary amines,0.86,CHEMONTID:0002450,5,CHEMONTID:0002449,CHEMONTID:0000000;CHEMONTID:0004707;CHEMONTID:0000278;CHEMONTID:0002449;CHEMONTID:0002450,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Primary amines,NA,NA,NA,Good,14,33,3,3,1,0,-1.6428571428571432,107.12142857142858,3,N/A,CHONP,Night,NA,NA,NA,0.0066200864136235354,NA,1,Porites lobata,labile
20679,-1,Secondary alcohols,N/A,Secondary alcohols,0.99,CHEMONTID:0001661,5,CHEMONTID:0000129,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0000129;CHEMONTID:0001661,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Secondary alcohols,NA,NA,NA,Low probability,22,47,5,13,0,0,-0.2727272727272725,68.07272727272726,3,N/A,uncharacterized,Night,NA,NA,7.77449950699766e-13,NA,NA,1,Pocillopora verrucosa,labile
2069,3765,Carboxylic acid derivatives,N/A,Carboxylic acid derivatives,0.95,CHEMONTID:0001093,4,CHEMONTID:0000265,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000265;CHEMONTID:0001093,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,NA,NA,NA,NA,Good,20,32,0,8,0,0,-0.7999999999999998,83.1,3,N/A,CHO,Night,0.003818140747853897,NA,NA,NA,NA,1,CCA,labile
20722,21,Oleoyl-L-carnitine,2,Carbonyl compounds,0.96,CHEMONTID:0001831,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0001831,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,Bad quality,20,39,1,5,0,0,-1.2999999999999998,97.35,2,"InChI=1S/C25H47NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(21-24(27)28)22-26(2,3)4/h12-13,23H,5-11,14-22H2,1-4H3/b13-12-/t23-/m1/s1",uncharacterized,Night,NA,NA,NA,1.6600995013553734e-9,NA,1,Porites lobata,labile
2111,-1,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low probability,17,22,4,5,0,0,0,60.3,3,N/A,uncharacterized,Night,NA,0.008517272959533828,NA,NA,NA,1,Dictyota,labile
2122,-1,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bad quality,19,31,2,0,1,0,-1.5789473684210522,105.29999999999998,3,N/A,uncharacterized,Night,NA,2.983651974198497e-7,NA,NA,NA,1,Dictyota,labile
2132,87,"1,4-Anhydroerythritol",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low probability,15,21,2,4,0,0,-0.4666666666666668,73.6,2,"InChI=1S/C4H8O3/c5-3-1-7-2-4(3)6/h3-6H,1-2H2/t3-,4+",uncharacterized,Night,0.02042996397059632,0.0014325648938611944,NA,NA,0.006946764897292815,3,Algae,labile
2212,21,Isovaleryl-L-carnitine,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Good,12,23,1,4,0,0,-1,88.8,1,"InChI=1S/C12H23NO4/c1-9(2)6-12(16)17-10(7-11(14)15)8-13(3,4)5/h9-10H,6-8H2,1-5H3/t10-/m1/s1",CHON,Night,NA,1.634696878564003e-11,NA,NA,0.044888035756758794,2,Fleshy Algae,labile
2360,-1,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Good,21,39,1,9,0,0,-0.8571428571428568,84.72857142857141,3,N/A,CHON,Night,NA,NA,0.01929272497510403,NA,NA,1,Pocillopora verrucosa,labile
2364,3273,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Good,20,32,0,11,0,0,-0.5,74.55,3,N/A,CHO,Night,0.044446212440549276,0.003479084474705195,NA,NA,NA,2,Algae,labile
2371,87,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Good,21,37,1,11,0,0,-0.5714285714285712,76.58571428571427,3,N/A,CHON,Night,NA,0.0021124492269053575,NA,NA,NA,1,Dictyota,labile
2378,155,Creatinol,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Good,11,21,3,1,0,0,-0.9090909090909092,86.2090909090909,2,"InChI=1S/C4H11N3O/c1-7(2-3-8)4(5)6/h8H,2-3H2,1H3,(H3,5,6)",CHON,Night,0.0013717837375915207,NA,NA,NA,NA,1,CCA,labile
2394,87,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Good,20,29,2,6,0,0,-0.5499999999999998,75.975,3,N/A,CHON,Night,NA,0.014805630987938268,NA,NA,NA,1,Dictyota,labile
2464,87,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Good,25,43,1,13,0,0,-0.5599999999999996,76.25999999999999,3,N/A,CHON,Night,NA,0.01394425673845994,NA,NA,NA,1,Dictyota,labile
2472,3930,"Pesticide3_Neburon_C12H16Cl2N2O_Urea, N-butyl-N'-(3,4-dichlorophenyl)-N-methyl-",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Good,9,17,1,3,0,0,-0.8888888888888893,85.63333333333334,2,"InChI=1S/C12H16Cl2N2O/c1-3-4-7-16(2)12(17)15-9-5-6-10(13)11(14)8-9/h5-6,8H,3-4,7H2,1-2H3,(H,15,17)",CHON,Night,NA,NA,4.339211319418425e-4,NA,NA,1,Pocillopora verrucosa,labile
2481,1827,"16.alpha.,17,21-Trihydroxypregna-1,4-diene-3,11,20-trione",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Good,16,24,2,7,0,0,-0.25,67.425,1,"InChI=1S/C21H26O6/c1-19-6-5-12(23)7-11(19)3-4-13-14-8-16(25)21(27,17(26)10-22)20(14,2)9-15(24)18(13)19/h5-7,13-14,16,18,22,25,27H,3-4,8-10H2,1-2H3/t13-,14-,16+,18+,19-,20-,21-/m0/s1",CHON,Night,3.8775431719949977e-7,0.027884201156289347,NA,2.0208903866876561e-4,3.4091543646293465e-5,4,Primary Producers,labile
2485,1583,Carboxylic acid derivatives,N/A,Carboxylic acid derivatives,1,CHEMONTID:0001093,4,CHEMONTID:0000265,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000265;CHEMONTID:0001093,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,NA,NA,NA,NA,Good,18,33,1,4,0,0,-1.2222222222222223,95.13333333333333,3,N/A,CHON,Night,NA,NA,NA,NA,5.964823630051376e-5,1,Turf,labile
2496,918,1-Methyl-L-histidine,2,Carbonyl compounds,0.97,CHEMONTID:0001831,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0001831,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,Good,16,29,2,6,0,0,-0.6875,79.89375,2,"InChI=1S/C7H11N3O2/c1-10-3-5(9-4-10)2-6(8)7(11)12/h3-4,6H,2,8H2,1H3,(H,11,12)",CHON,Night,NA,NA,NA,NA,3.39947718002451e-7,1,Turf,labile
2500,-1,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,N/A,uncharacterized,Night,0.00957174506531445,NA,NA,NA,NA,1,CCA,labile
2517,918,1-Methyl-L-histidine,2,Carbonyl compounds,0.89,CHEMONTID:0001831,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0001831,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,Good,19,29,3,3,0,0,-0.7368421052631575,81.29999999999998,2,"InChI=1S/C7H11N3O2/c1-10-3-5(9-4-10)2-6(8)7(11)12/h3-4,6H,2,8H2,1H3,(H,11,12)",CHON,Night,NA,NA,0.011686784833622538,NA,5.352998209984616e-10,2,Cosmo,labile
2546,513,Taurocholic acid,2,Carbonyl compounds,0.99,CHEMONTID:0001831,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0001831,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,Low probability,28,35,3,4,0,0,-0.6428571428571432,78.62142857142858,2,"InChI=1S/C26H45NO7S/c1-15(4-7-23(31)27-10-11-35(32,33)34)18-5-6-19-24-20(14-22(30)26(18,19)3)25(2)9-8-17(28)12-16(25)13-21(24)29/h15-22,24,28-30H,4-14H2,1-3H3,(H,27,31)(H,32,33,34)/t15-,16+,17-,18-,19+,20+,21-,22+,24+,25+,26-/m1/s1",uncharacterized,Night,NA,NA,0.002376956897861646,NA,NA,1,Pocillopora verrucosa,labile
2575,550,Met Tyr Leu,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low probability,21,34,0,11,0,0,-0.5714285714285712,76.58571428571427,2,N/A,uncharacterized,Night,NA,0.007700065313431563,NA,NA,NA,1,Dictyota,labile
2595,87,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Good,13,25,1,7,0,0,-0.615384615384615,77.83846153846153,3,N/A,CHON,Night,NA,0.01616490736652733,NA,NA,NA,1,Dictyota,labile
